paper_id,title,authors,year,journal,doi,pubmed_url,url,problem,dataset,dataset_source,n_patients,n_events,structured_data,unstructured_data,pathology,labs,medications,treatment,longitudinal_data,target,prediction_horizon,prediction_time,model,baselines,validation,external_validation,metrics,main_result,limitations,leakage_risk,research_gap,relevance_score,novelty_score,data_feasibility,notes
P0001,Identifying Breast Cancer Distant Recurrences from Electronic Health Records Using Machine Learning,"Zeng Z, et al.",2019/2020,Journal of Healthcare Informatics Research,10.1007/s41666-019-00046-3,https://pubmed.ncbi.nlm.nih.gov/33225204/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7678240/,Case-finding/classification of distant recurrence status from EHR,Northwestern Medicine Enterprise Data Warehouse (NMEDW),Northwestern University Feinberg School of Medicine,1396 train + 599 held-out + 4904 generalization test,UNKNOWN (not reported in retrievable sources),Yes,Yes (clinical narratives via MetaMap),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Distant recurrence (ever occurred, per chart review)","N/A - retrospective classification, not forward horizon",N/A,SVM (narrative+structured combined),"Narrative-only, structured-only single-modality models",Held-out validation + separate generalization test set (within-institution),No,"AUC 0.92 (CV train), 0.95 (held-out), 0.93 (generalization test) [arXiv preprint version]",Combined narrative+structured features outperform either alone,Structured data alone insufficient for accurate recurrence phenotyping,"Low-moderate; task is detection not forecasting, so classic prospective leakage largely N/A, but not repurposable for forecasting without redesign",Foundational for structured+NLP fusion; not a forecasting model,3,3,3,"CLASSIFICATION: DETECTION/INFORMATION EXTRACTION, not prediction. Companion arXiv preprint 1806.04818. Verified via WebSearch snippets only (WebFetch blocked this session) - some fields UNKNOWN pending full-text read."
P0002,Prediction of breast cancer distant recurrence using natural language processing and knowledge-guided convolutional neural network,"Wang H, Li Y, Khan SA, Luo Y",2020,Artificial Intelligence in Medicine,10.1016/j.artmed.2020.101977,https://pubmed.ncbi.nlm.nih.gov/33250149/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7983067/,Predicting distant recurrence using pathology reports + progress notes + structured features,Northwestern Memorial Hospital cohort,Northwestern University,6447 (diagnosed 2001-2015),UNKNOWN,Yes,"Yes (pathology reports + progress notes, UMLS CUI mapping)",Yes (pathology reports),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Distant recurrence,UNKNOWN - not confirmed whether pre-cutoff features only or full corpus,UNKNOWN,"Knowledge-guided CNN (K-CNN), text+CUI+structured fusion",Unspecified conventional ML classifiers,UNKNOWN (split method not confirmed),UNKNOWN,"AUC 0.888, F1 0.5 (best config)",Text+CUI+structured combination beats single-modality models,UNKNOWN (not confirmed from retrievable text),"MODERATE-UNKNOWN: could not confirm if notes are restricted to pre-prediction-cutoff, real risk this is detection mislabeled as prediction",Ambiguity between prediction and detection framing widespread in this literature cluster,3,3,3,CLASSIFICATION: AMBIGUOUS (likely detection/extraction dressed as prediction) - flagged as needing full-text verification before citing as true prediction exemplar.
P0003,Weakly supervised temporal model for prediction of breast cancer distant recurrence,"Sanyal J, Tariq A, Kurian AW, Rubin D, Banerjee I",2021,Scientific Reports,10.1038/s41598-021-89033-6,https://pubmed.ncbi.nlm.nih.gov/33947927/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8096809/,Predicting distant recurrence from free-text notes despite scarce gold-standard labels,Stanford (OncoSHARE-related) clinical notes cohort,Stanford University School of Medicine,670 manually curated + 8062 NLP-weak-labeled = 8732 train; 224 recurrence-positive manually annotated validation,224+ recurrence-positive in validation subset,UNKNOWN,Yes (free-text clinic notes only),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Yes (explicitly a 'temporal model' over notes),Distant recurrence,Framed as 'in advance' prediction; exact cutoff UNKNOWN,UNKNOWN precise definition,Weakly-supervised deep learning temporal model,Model trained on 670 hand-curated patients only (small-data baseline),Held-out 224 manually-annotated recurrence patients,No,AUROC 0.94 on manually annotated validation,Weak supervision at scale (8062 add'l patients) improves over hand-curated-only training,UNKNOWN (not confirmed from retrievable text),UNKNOWN/moderate concern - high AUROC (0.94) worth scrutinizing for leakage in full-text read; unclear if input text strictly pre-dates recurrence event,Weak supervision approach directly addresses real-world EHR label scarcity,4,4,3,"CLASSIFICATION: Likely PREDICTION in intent (explicit 'in advance', 'temporal model') but implementation details unconfirmed. Part of Stanford Banerjee/Rubin/Kurian recurrence-NLP research lineage (see P0005, P0008)."
P0004,Machine Learning Algorithms to Predict Breast Cancer Recurrence Using Structured and Unstructured Sources from Electronic Health Records,"Gonzalez-Castro L, et al.",2023,Cancers,10.3390/cancers15102741,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10216131/,https://www.mdpi.com/2072-6694/15/10/2741,Compare structured vs unstructured vs combined EHR sources for 5-year recurrence prediction,Hospital EHR cohort (source institution not confirmed by name),Spain (GRADIANT/University of Vigo research group),823 (after preprocessing),UNKNOWN,Yes (semi-structured registry/EHR fields),Yes (NLP-derived features from clinical reports),Likely (TNM/biomarker fields recovered via NLP),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5-year recurrence (binary),5 years,UNKNOWN exact index point (at diagnosis vs. post-treatment landmark not confirmed),XGBoost (best of 5 algorithms evaluated),4 other unspecified algorithms,UNKNOWN (split method not confirmed),UNKNOWN,"XGB: precision 0.900, recall 0.907, F1 0.897 (best modality combo)",Combining structured + unstructured sources beats either alone,Small final N (823) after preprocessing; fragmented EHR data across encounters; systematic missingness,Moderate - validation strategy unconfirmed; high precision/recall on n=823 without confirmed CV/external validation raises optimism-bias concern,Clearest explicit 5-year horizon design among reviewed papers; small N limits generalizability claims,5,3,4,CLASSIFICATION: PREDICTION (explicit 5-year horizon). Most directly relevant paper found to the structured-vs-unstructured EHR ablation question (project brief Section 19).
P0005,Development and Use of Natural Language Processing for Identification of Distant Cancer Recurrence and Sites of Distant Recurrence Using Unstructured Electronic Health Record Data,"Karimi YH, Blayney DW, Kurian AW, Shen J, Yamashita R, Rubin D, Banerjee I",2021,JCO Clinical Cancer Informatics,10.1200/CCI.20.00165,https://pubmed.ncbi.nlm.nih.gov/33929889/,,NLP classification of recurrence status AND anatomic site of distant recurrence from unstructured EHR text,Stanford EHR cohort (breast cancer + hepatocellular carcinoma per one snippet),Stanford University School of Medicine,"1273 (breast + HCC combined, per independent second search)",NLP identified 11.1% recurrence in breast database vs only 2.31% via ICD coding alone,"Yes (used for cohort selection/high-risk code filtering, per critique P0007)",Yes (primary extraction source),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Recurrence status + specific anatomic site (multi-class),N/A - retrospective extraction,N/A,NLP classification framework (architecture unconfirmed),UNKNOWN,UNKNOWN,UNKNOWN,Breast distant-recurrence detection AUC=0.98 (95% CI 0.96-0.99); site-of-recurrence mean accuracy ~0.90 (confirmed via 2nd independent search),NLP-derived recurrence rate (11.1%) nearly 5x the ICD-coded rate (2.31%) - strong evidence structured coding badly under-captures recurrence,"See P0008 critique: cohort was pre-enriched via structured high-recurrence-likelihood codes, not a general population",N/A (extraction task),Cohort selection bias documented by independent critique (P0008); ALSO the single most important fact found across both literature agents: ICD-coded recurrence severely under-ascertains true recurrence (2.31% vs 11.1%) - any project using coded EHR recurrence labels alone will have badly biased labels,4,3,3,CLASSIFICATION: INFORMATION EXTRACTION/DETECTION. Directly critiqued/contradicted by Ritzwoller et al. (P0008) - see that entry. Metrics confirmed independently by two separate research agents (cross-validated finding).
P0006,Evolution of Breast Cancer Recurrence Risk Prediction: A Systematic Review of Statistical and Machine Learning-Based Models,"El Haji H, Souadka A, Patel BK, Sbihi N, Ramasamy G, Patel B, Ghogho M, Banerjee I",2023,JCO Clinical Cancer Informatics,10.1200/CCI.23.00049,https://pubmed.ncbi.nlm.nih.gov/37566789/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11771520/,"Systematic review of statistical + ML breast cancer recurrence risk prediction models, 2008-2022",N/A (review),N/A,N/A (review of multiple studies),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A (review),N/A,N/A,N/A (review),N/A,N/A,N/A,N/A,ML models show strong performance but limited interpretability/generalizability; narrow feature sets common; class imbalance and lack of open datasets impede development,Exact number of included studies not confirmed from snippets,N/A,EXPLICIT EQUITY GAP: models predominantly trained/validated on Caucasian and Asian populations; African and Middle Eastern populations largely overlooked,5,3,5,KEY SYSTEMATIC REVIEW. Co-authored by Imon Banerjee (also co-author on P0003 Sanyal and P0005 Karimi) - notable lineage overlap in this citation cluster.
P0007,Predictive value of machine learning for breast cancer recurrence: a systematic review and meta-analysis,"Lu Y, Long J, Fu C, Zhou X, et al.",2023,Journal of Cancer Research and Clinical Oncology,10.1007/s00432-023-04967-w,https://pubmed.ncbi.nlm.nih.gov/37302114/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11796809/,Meta-analysis of ML predictive value for breast cancer recurrence,N/A (meta-analysis of 34 studies),N/A,67560 (pooled across 34 studies),8695 recurrence events (pooled),N/A,N/A,N/A,N/A,N/A,N/A,N/A,Recurrence,Varies by included study,Varies by included study,Random forest most common top-performer across included studies,N/A,Varies by included study,Varies,Pooled c-index 0.863 (95% CI 0.834-0.892); pooled sensitivity/specificity ~0.82,Aggregate ML performance for recurrence prediction is in the high-0.8s c-index range across heterogeneous studies,UNKNOWN exact PRISMA details beyond what's reported,N/A (review),Most pooled studies rely on curated clinicopathologic variables rather than messy real-world longitudinal EHR data - benchmark performance is anchored on clean cohorts,5,2,5,KEY META-ANALYSIS providing quantitative benchmark (c-index ~0.86) for the broader field - useful reference point for our eventual model's performance.
P0008,Regarding the Utility of Unstructured Data and Natural Language Processing for Identification of Breast Cancer Recurrence,"Ritzwoller DP, Hassett MJ, Uno H",2022,JCO Clinical Cancer Informatics,10.1200/CCI.21.00091,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9848577/,,Critique/commentary directly responding to Karimi et al. 2021 (P0005),N/A (commentary),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(1) Karimi et al. cohort was pre-selected via structured high-recurrence-likelihood codes, not a general population, undermining the 'unstructured-only value-add' claim. (2) NLP models are less portable across institutions due to documentation-style variance and uneven text/compute availability. (3) Structured/claims-based recurrence algorithms remain more practical for population-level research for now.",N/A (commentary),N/A,Directly documents cohort-enrichment bias risk in NLP recurrence studies and NLP cross-institution portability gap,5,4,5,"CRITICAL CONTRADICTING SOURCE. Rare direct, named methodological critique of a seed paper in the same venue - important counter-evidence against uncritically assuming NLP/unstructured data is always the way forward."
P0009,Natural Language Processing Approaches to Detect the Timeline of Metastatic Recurrence of Breast Cancer,"Banerjee I, Bozkurt S, Caswell-Jin JL, Kurian AW, Rubin DL",2019,JCO Clinical Cancer Informatics,10.1200/CCI.19.00034,https://pubmed.ncbi.nlm.nih.gov/31584836/,,Detect timing/date of documented metastatic recurrence from clinical notes,OncoSHARE database merged with California Cancer Registry,Stanford University,"894 train (manually reviewed), 179 held-out test (~20% split)",UNKNOWN,UNKNOWN (registry-linked),Yes (clinical notes),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Yes (timeline extraction),Timing of distant metastatic recurrence documentation,N/A - retrospective timeline extraction,N/A,Neural network NLP model vs rule-based NLP model,Rule-based NLP model,"Held-out test set (179 patients, ~20% split)",No,"Neural model: sensitivity 0.83, specificity 0.73",Neural NLP model outperforms rule-based approach for recurrence timeline detection,UNKNOWN,N/A (extraction task),Earliest paper in Stanford Banerjee/Rubin/Kurian lineage; precursor to P0005 and P0003,4,2,3,CLASSIFICATION: DETECTION/INFORMATION EXTRACTION. Foundational precursor establishing the structured->NLP timeline extraction->weakly-supervised prediction pipeline later used in P0005 (2021) and P0003 (2021).
P0010,"Natural language processing for local, regional, and distant breast cancer relapse identification in pathology reports","Lee, Jettinghoff, Arbour, Isaac, Ng, Nichol",2025,Breast Cancer Research and Treatment,,https://pubmed.ncbi.nlm.nih.gov/40897953/,,Multi-label NLP classification of local/regional/distant relapse from pathology reports,British Columbia population-based cancer cohort,"BC Cancer, Canada","993 patients, 1888 pathology reports","673 local (35.6%), 296 regional (15.7%), 654 distant (34.6%), 1510 any relapse (80.0%)",UNKNOWN,Yes (pathology reports),Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Local/regional/distant relapse (multi-label),N/A - retrospective extraction,N/A,Fine-tuned large language models (multi-label classification),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Fine-tuned LLMs used for multi-label relapse classification; motivated by cancer registries rarely tracking relapse due to resource-intensive manual review,UNKNOWN,N/A (extraction task),2025 LLM-based extension of detection task category; same motivating gap as older seed papers (registries don't track relapse),4,4,3,CLASSIFICATION: INFORMATION EXTRACTION/DETECTION. Recent (2025) evidence the field has moved from SVM/CNN toward fine-tuned LLMs for the same detection task.
