subgroup,n,n_events,cindex,mean_predicted_risk,observed_event_rate,status
age <50,268,106,0.644,0.109,0.396,OK
age 50-64,326,157,0.648,0.177,0.482,OK
age 65+,92,36,0.714,0.216,0.391,OK
menopause: pre,290,119,0.647,0.101,0.41,OK
menopause: post,396,180,0.658,0.196,0.455,OK
grade 1 (out-of-distribution - see limitation),81,18,0.66,-0.095,0.222,OK
grade 2,444,202,0.62,0.071,0.455,OK
grade 3,161,79,0.694,0.517,0.491,OK
hormone therapy: no,440,205,0.631,0.196,0.466,OK
hormone therapy: yes,246,94,0.686,0.084,0.382,OK
nodes 1-3,376,119,0.564,-0.125,0.316,OK
nodes 4+,310,180,0.608,0.496,0.581,OK
